amine,carboxylic acid,product,conversion,gt,pred,prob
Nc1c(F)c(F)c(-c2c(F)c(F)c(F)c(F)c2F)c(F)c1F,C=CC1CC1(NC(=O)OC(C)(C)C)C(=O)O,C=CC1CC1(NC(=O)OC(C)(C)C)C(=O)Nc1c(F)c(F)c(-c2c(F)c(F)c(F)c(F)c2F)c(F)c1F,0,0,0,0.10240223
OC(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)C1CCCN1,C=CC1CC1(NC(=O)OC(C)(C)C)C(=O)O,C=CC1CC1(NC(=O)OC(C)(C)C)C(=O)N1CCCC1C(O)(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,12.8,0,0,0.37486514
CC(Oc1cc(Br)cnc1N)c1c(Cl)ccc(F)c1Cl,C=CC1CC1(NC(=O)OC(C)(C)C)C(=O)O,C=CC1CC1(NC(=O)OC(C)(C)C)C(=O)Nc1ncc(Br)cc1OC(C)c1c(Cl)ccc(F)c1Cl,0,0,0,0.06456953
CC(NC(C)c1ccccc1)c1ccccc1,C=CC1CC1(NC(=O)OC(C)(C)C)C(=O)O,C=CC1CC1(NC(=O)OC(C)(C)C)C(=O)N(C(C)c1ccccc1)C(C)c1ccccc1,0,0,0,0.2404162
Nc1ccccc1-c1nc2ccccc2[nH]1,C=CC1CC1(NC(=O)OC(C)(C)C)C(=O)O,C=CC1CC1(NC(=O)OC(C)(C)C)C(=O)Nc1ccccc1-c1nc2ccccc2[nH]1,13.7,0,0,0.47379288
NN(Cc1ccccc1)c1ccccc1,C=CC1CC1(NC(=O)OC(C)(C)C)C(=O)O,C=CC1CC1(NC(=O)OC(C)(C)C)C(=O)NN(Cc1ccccc1)c1ccccc1,0,0,0,0.4621478
c1ccc2sc(N3CCNCC3)nc2c1,C=CC1CC1(NC(=O)OC(C)(C)C)C(=O)O,C=CC1CC1(NC(=O)OC(C)(C)C)C(=O)N1CCN(c2nc3ccccc3s2)CC1,97,1,1,0.820668
Nc1cc(-c2ccccc2)c(O)c(-c2ccccc2)c1,C=CC1CC1(NC(=O)OC(C)(C)C)C(=O)O,C=CC1CC1(NC(=O)OC(C)(C)C)C(=O)Nc1cc(-c2ccccc2)c(O)c(-c2ccccc2)c1,80,1,1,0.5679822
C=C(C)C(=O)OC1CC(C)(C)NC(C)(C)C1,C=CC1CC1(NC(=O)OC(C)(C)C)C(=O)O,C=CC1CC1(NC(=O)OC(C)(C)C)C(=O)N1C(C)(C)CC(OC(=O)C(=C)C)CC1(C)C,0,0,0,0.0789475
C1=Cc2ccccc2NCc2ccccc21,C=CC1CC1(NC(=O)OC(C)(C)C)C(=O)O,C=CC1CC1(NC(=O)OC(C)(C)C)C(=O)N1Cc2ccccc2C=Cc2ccccc21,0,0,0,0.2105476
Nc1ccccc1C(=O)Oc1ccc([N+](=O)[O-])cc1,C=CC1CC1(NC(=O)OC(C)(C)C)C(=O)O,C=CC1CC1(NC(=O)OC(C)(C)C)C(=O)Nc1ccccc1C(=O)Oc1ccc([N+](=O)[O-])cc1,0,0,0,0.21537428
Cc1onc(N)c1C,C=CC1CC1(NC(=O)OC(C)(C)C)C(=O)O,C=CC1CC1(NC(=O)OC(C)(C)C)C(=O)Nc1noc(C)c1C,0,0,0,0.12572703
Nc1ccccc1C#Cc1ccccc1,C=CC1CC1(NC(=O)OC(C)(C)C)C(=O)O,C=CC1CC1(NC(=O)OC(C)(C)C)C(=O)Nc1ccccc1C#Cc1ccccc1,17.7,0,0,0.3462696
CCOc1cc(N)c(Cl)cc1C(=O)NCC1CN(Cc2ccc(F)cc2)CCO1,C=CC1CC1(NC(=O)OC(C)(C)C)C(=O)O,C=CC1CC1(NC(=O)OC(C)(C)C)C(=O)Nc1cc(OCC)c(C(=O)NCC2CN(Cc3ccc(F)cc3)CCO2)cc1Cl,0,0,0,0.11997339
OC(c1ccccc1)(c1ccccc1)C1CCCN1,C=CC1CC1(NC(=O)OC(C)(C)C)C(=O)O,C=CC1CC1(NC(=O)OC(C)(C)C)C(=O)N1CCCC1C(O)(c1ccccc1)c1ccccc1,0,0,1,0.5195597
C1CCC(NC2CCCCC2)CC1,C=CC1CC1(NC(=O)OC(C)(C)C)C(=O)O,C=CC1CC1(NC(=O)OC(C)(C)C)C(=O)N(C1CCCCC1)C1CCCCC1,0,0,0,0.18653023
COc1cccc(Nc2ccccc2)c1,C=CC1CC1(NC(=O)OC(C)(C)C)C(=O)O,C=CC1CC1(NC(=O)OC(C)(C)C)C(=O)N(c1ccccc1)c1cccc(OC)c1,0,0,0,0.16307922
Clc1ccc2c(c1)CCc1cccnc1C2=C1CCNCC1,C=CC1CC1(NC(=O)OC(C)(C)C)C(=O)O,C=CC1CC1(NC(=O)OC(C)(C)C)C(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,64.1,1,1,0.69130534
COc1cccc(C(N)=S)c1,C=CC1CC1(NC(=O)OC(C)(C)C)C(=O)O,C=CC1CC1(NC(=O)OC(C)(C)C)C(=O)NC(=S)c1cccc(OC)c1,0,0,0,0.128578
CC(N)c1ccccc1Br,C=CC1CC1(NC(=O)OC(C)(C)C)C(=O)O,C=CC1CC1(NC(=O)OC(C)(C)C)C(=O)NC(C)c1ccccc1Br,0,0,1,0.5504531
Nc1c(F)c(F)c(-c2c(F)c(F)c(F)c(F)c2F)c(F)c1F,CC(C)(C)OC(=O)NCC(=O)NCC(=O)NCC(=O)O,CC(C)(C)OC(=O)NCC(=O)NCC(=O)NCC(=O)Nc1c(F)c(F)c(-c2c(F)c(F)c(F)c(F)c2F)c(F)c1F,0,0,0,0.12975506
OC(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)C1CCCN1,CC(C)(C)OC(=O)NCC(=O)NCC(=O)NCC(=O)O,CC(C)(C)OC(=O)NCC(=O)NCC(=O)NCC(=O)N1CCCC1C(O)(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,68.4,1,0,0.3036919
CC(Oc1cc(Br)cnc1N)c1c(Cl)ccc(F)c1Cl,CC(C)(C)OC(=O)NCC(=O)NCC(=O)NCC(=O)O,CC(Oc1cc(Br)cnc1NC(=O)CNC(=O)CNC(=O)CNC(=O)OC(C)(C)C)c1c(Cl)ccc(F)c1Cl,0,0,0,0.08300638
CC(NC(C)c1ccccc1)c1ccccc1,CC(C)(C)OC(=O)NCC(=O)NCC(=O)NCC(=O)O,CC(c1ccccc1)N(C(=O)CNC(=O)CNC(=O)CNC(=O)OC(C)(C)C)C(C)c1ccccc1,0,0,0,0.26177263
Nc1ccccc1-c1nc2ccccc2[nH]1,CC(C)(C)OC(=O)NCC(=O)NCC(=O)NCC(=O)O,CC(C)(C)OC(=O)NCC(=O)NCC(=O)NCC(=O)Nc1ccccc1-c1nc2ccccc2[nH]1,94.8,1,1,0.6947668
NN(Cc1ccccc1)c1ccccc1,CC(C)(C)OC(=O)NCC(=O)NCC(=O)NCC(=O)O,CC(C)(C)OC(=O)NCC(=O)NCC(=O)NCC(=O)NN(Cc1ccccc1)c1ccccc1,84.8,1,1,0.6469113
c1ccc2sc(N3CCNCC3)nc2c1,CC(C)(C)OC(=O)NCC(=O)NCC(=O)NCC(=O)O,CC(C)(C)OC(=O)NCC(=O)NCC(=O)NCC(=O)N1CCN(c2nc3ccccc3s2)CC1,94.3,1,1,0.78612196
Nc1cc(-c2ccccc2)c(O)c(-c2ccccc2)c1,CC(C)(C)OC(=O)NCC(=O)NCC(=O)NCC(=O)O,CC(C)(C)OC(=O)NCC(=O)NCC(=O)NCC(=O)Nc1cc(-c2ccccc2)c(O)c(-c2ccccc2)c1,90.8,1,1,0.7495997
C=C(C)C(=O)OC1CC(C)(C)NC(C)(C)C1,CC(C)(C)OC(=O)NCC(=O)NCC(=O)NCC(=O)O,C=C(C)C(=O)OC1CC(C)(C)N(C(=O)CNC(=O)CNC(=O)CNC(=O)OC(C)(C)C)C(C)(C)C1,0,0,0,0.07758277
C1=Cc2ccccc2NCc2ccccc21,CC(C)(C)OC(=O)NCC(=O)NCC(=O)NCC(=O)O,CC(C)(C)OC(=O)NCC(=O)NCC(=O)NCC(=O)N1Cc2ccccc2C=Cc2ccccc21,0,0,0,0.27319577
Nc1ccccc1C(=O)Oc1ccc([N+](=O)[O-])cc1,CC(C)(C)OC(=O)NCC(=O)NCC(=O)NCC(=O)O,CC(C)(C)OC(=O)NCC(=O)NCC(=O)NCC(=O)Nc1ccccc1C(=O)Oc1ccc([N+](=O)[O-])cc1,0,0,0,0.25600117
