smiles,target
C1(C(O)=O)(NC(=O)OC(C)(C)C)C(C1)C=C,1
O=C(CNC(=O)OC(C)(C)C)NCC(=O)NCC(=O)O,1
C1(C(O)=O)=CC(=NN1C)CC(C)C,1
COC1C=CC(/C=C/C(NC2C(C(O)=O)=CC=CC=2)=O)=CC=1OC,1
C1(C(O)=O)=CN2C(C=NC(Br)=C2)=N1,1
C1(=CC=NC(Cl)=C1F)C(O)=O,1
N1(C2=CC=C(C3CC3)C=C2Cl)C(C)=C(C(O)=O)N=N1,1
CC(C1CCC(C(NC(C(=O)O)CC2C=CC=CC=2)=O)CC1)C,1
C(O)(C1CCCC1)(C1=CC=CC=C1)C(O)=O,1
C1(SC=CC=1NC(=O)OC(C)(C)C)C(O)=O,1
N1(C2=CC=CC=C2C(O)=O)C(=O)C2=C(C=CC=C2)C1=O,1
CC(COC1=C(C#N)C=C(C2SC(C(O)=O)=C(C)N=2)C=C1)C,1
C(C1C=CC=CC=1)(=O)N1CCC(CC1)C(O)=O,1
N(C(=O)OCC1C2C=CC=CC=2C2C=CC=CC=21)C(CC1C=CC=C(C(F)(F)F)C=1)C(=O)O,1
CC(OC(NC1=CC=C(C(O)=O)C=C1)=O)(C)C,1
OC(/C(/Cl)=C(/C=O)\Cl)=O,1
C1(COC(=O)NC2C=CC=CC=2C(O)=O)C2C=CC=CC=2C2C=CC=CC=21,1
O=C(O)C1C(=O)C(OCC2C=CC=CC=2)=C(C(=O)OC)N(CC(OC)OC)C=1,1
N1(C(=O)C2=CC=C(C=C2)Cl)C2C=CC(=CC=2C(CC(O)=O)=C1C)OC,1
C1(C(O)=O)OC2C=CC(=CC=2C(=O)C=1)Br,1
N1(CCCCCCCN(CC2=CC(C)=CC(C)=C2)CC2C=C(C=CC=21)C(O)=O)C(C1C=CN=CC=1)=O,0
OC(C(C1=CC=CC=C1)CN1CCCC1)=O,0
C(=O)(C1=CC=C(C=C1)Cl)NC1=CC=C(C=C1)SCC(O)=O,0
N(C)(C1C=CC(=CC=1)C=O)CC(O)=O,0
N1(CCN(CC1)C)C1C=CC(=NC=1)C(O)=O,0
C12SC3=C(COC(C)(C)C3)C=1N(C(=O)N(C)C2=O)CC(O)=O,0
COC1=NC=NC(CC(O)=O)=C1,0
C12=CC(=NN1C=CN(CC1C=CC(=CC=1)C(O)=O)C2=O)C1C=CC(=CC=1)OCC,0
C1(=CC(=CC(NC(COC2C=CC=CC=2OC)=O)=C1)NC(COC1C=CC=CC=1OC)=O)C(O)=O,0
C1(CCC(O)=O)=C(C2=CC=CC=C2)C=C2C=CC=CN12,0
N1C(=NC=C(C(C)(C)C(O)=O)C=1N1CCOCC1)N1CCCC(C)(CO)C1,0
C1(=CC=CC=C1NC(=O)C1C=CC=C(C=1)NC(COC1C=CC=C(C)C=1)=O)C(O)=O,0
C(C(C)=O)(=NNC1C=CC(=CC=1)C(O)=O)C(=O)OC(C)C,0
N1(CCC(=O)NC2=CC=C(C=C2)C(O)=O)C(=O)C(SC1=S)=CC1=CC=CS1,0
N1=C2C(C(C(O)=O)=C(C3=CC=C(Cl)C=C3)C=C2)=CN1,0
C1(CN2CCN(CC2)C(C(O)=O)C2C=CC(=CC=2F)C)=NC=CN1C,0
C1(Cl)=C(C=CC(C(=O)O)=C1)Br,0
C1(=CC2=CC=C(C=C2OC1=NC1C=CC(=CC=1)C(O)=O)O)C(=O)NC1C=CC=CC=1F,0
C12SC3=C(CCCC3)C=1C(=O)N(C(=O)N2CC(=O)NCC1C=CC=CC=1)CC(O)=O,0
C12NC(C(O)=O)=CC(C3=CC=C(C=C3)C)N1N=CC=2C(=O)NC1=CC=C(C(OC)=C1)OC,0
C(=O)(C1=CC=C(C=C1)COC1C=CC(=CC=1)Cl)NC1C=CC=C(C=1)C(O)=O,0
C1(C(NCCCCCC(O)=O)=O)=CC2=C(C=CC=C2)N1C,0
N(=O)(=O)C1C=CC=C(C=1)C=C(C(=O)NCC(O)=O)NC(=O)C1C=CC(=CC=1)Br,0
C(=O)(CN(C1=CC=C(C=C1)OC)CC(O)=O)N1CCN(CC1)C,0
