smiles,target
FC1=C(C(=C(C(=C1C1C(=C(C(=C(C=1F)F)F)F)F)F)F)N)F,1
C(F)(F)(F)C1C=C(C=C(C(O)([C@H]2CCCN2)C2=CC(=CC(=C2)C(F)(F)F)C(F)(F)F)C=1)C(F)(F)F,1
NC1C(OC(C)C2C(Cl)=C(F)C=CC=2Cl)=CC(Br)=CN=1,1
N(C(C)C1C=CC=CC=1)C(C)C1C=CC=CC=1,1
C1(C2C=CC=CC=2N)NC2=C(C=CC=C2)N=1,1
N(N)(C1=CC=CC=C1)CC1=CC=CC=C1,1
C1(N2CCNCC2)SC2C(=CC=CC=2)N=1,1
C1(O)C(C2C=CC=CC=2)=CC(=CC=1C1=CC=CC=C1)N,1
C(=O)(C(C)=C)OC1CC(C)(C)NC(C)(C)C1,1
C12C=CC3C=CC=CC=3NCC=1C=CC=C2,1
C1(=CC=C(N(=O)=O)C=C1)OC(=O)C1C=CC=CC=1N,1
C1(N)=NOC(C)=C1C,1
C(C1=CC=CC=C1N)#CC1=CC=CC=C1,1
C1(=CC(Cl)=C(C=C1OCC)N)C(=O)NCC1CN(CCO1)CC1C=CC(F)=CC=1,1
C(O)(C1=CC=CC=C1)(C1C=CC=CC=1)C1CCCN1,1
N(C1CCCCC1)C1CCCCC1,1
COC1C=CC=C(NC2C=CC=CC=2)C=1,1
C1(=C2/CCNCC/2)/C2=C(C=CC=N2)CCC2C=C(Cl)C=CC/1=2,1
C(N)(=S)C1C=CC=C(OC)C=1,1
CC(C1=C(Br)C=CC=C1)N,1
C1=C([C@H](CC)N)C(O)=C(N)C=C1F.Cl,0
C1(C(=O)NC2CCCCC2)=CC2=CC=CC(OC)=C2OC1=NNC1C=CC=CC=1,0
[H]Cl.C12CNCC1CCCN2C(OC(C)(C)C)=O,0
C1(C[NH+]2CCCCC2C)=CC(=O)OC2=CC(C)=CC=C21.[Cl-],0
C1(C(N)=O)SC2C(=CC=CN=2)C=1C1CCN(CC2COC3C(=CC(=CC=3)OC)C=2)C1,0
C1=C([C@H](CC(C)=C)N)C(O)=C(Cl)C=C1Br,0
C1=C([C@@H](CC(C)=C)N)C=CC(OCC)=C1.Cl,0
C1([C@@H](CC#N)N2CCNCC2)=C(F)C(Br)=CC=C1,0
CC1C2CNC(=O)C2NCC1,0
C(F)(F)(F)C1C=CC(=CC=1)C(O)CNC(=O)NC12CC3CC(CC(C3)C1)C2,0
CC(CN1C(=O)N(C)C(=O)C(C(CCl)=O)=C1N)C,0
C1(C(NCCC2=CC=C(C=C2)S(N)(=O)=O)=O)=C(C)N=C(C2C=CC(=CC=2)OC)S1,0
CN1C(N)=CC(Br)=C1,0
C(/N)(\C1C=CC=C(C)C=1)=N/OC(COC1=CC=CC(C)=C1C)=O,0
C(N)(=O)NN=CC1C=CC(=C(Cl)C=1)OCC1C=CC=CC=1Cl,0
CNCCOC1C=CC(S(=O)(=O)N)=CC=1.Cl,0
C12C([C@@H](C(F)(F)CO)N)=C(OC)C=CC=1C=CC=C2,0
N[C@H](C1=CC=CC(OC)=C1)CCC,0
C1(SC=CC=1N)C(=O)N[C@@H]1COCC[C@H]1OC1=CC=C(C=C1)C#N,0
NC[C@@H]1C[C@H](C(F)(F)F)C1.Cl,0
N1(CCCC(C1)N)CC(C)(C)CN1CCCCCC1.Cl.Cl,0
C1(=O)OC2(CN1CCCCCC)CCN(CC2)C(=O)[C@H]1CCCN1.Cl,0
C1(O)=C(OC)C=C([C@@H](CCCCC)N)C=C1Br.Cl,0
[H]Cl.N1CCC(N2CC(F)(F)C2)CC1,0
C1([C@@H](C2C=CC(OC(F)(F)F)=CC=2)N)=C(Cl)C=CC=C1.Cl,0
C1=C([C@@H]([C@H](O)C(F)(F)F)N)C=C(Br)C(O)=C1Br,0
C1=CC([C@@H](C(=O)OC)N)=NC=C1Br,0
S(=O)(=O)(C1=CC=C2C(C=CN2CC(=O)NC2CCCCC2)=C1)N1CCCCC1,0
C1(NC=C(C(N)C=1)C1=CC=C(C=C1)Cl)C(F)(F)F,0
C1C=CC2C(C)=CC=C([C@@H](C(F)(F)F)N)C=2C=1.Cl,0
CC1C(C2NC(=O)CC2)=C(C)NN=1,0
Cl.FC1N=CC(C2(N)CC2)=CC=1,0
C1=C([C@H](C(C)(C)C)N2CCNCC2)SC(Cl)=C1,0
C12C([C@@H](C3CCOCC3)N3CCNCC3)=CC=NC=1C=CC=C2,0
Cl.Cl.CC1=NC2=C(NC=C2CCN)C=C1,0
Cl.Cl.CC1C(CNC2CCNCC2)=CC=C(F)C=1,0
C(COC1C=CC(=C(C)C=1)Cl)(=O)NC1=CC=CC(N)=C1,0
C1C(OC)=C([C@H](CC(F)F)N2CCNCC2)C(F)=CC=1,0
C12(C3C=CC=C(Cl)C=3NC1=O)NC(C1([H])C(N(CCC3=CC=C(C(OC)=C3)OC)C(=O)C21[H])=O)C(C)C,0
C1(C(F)(F)F)C=C([C@@H](CC(F)(F)F)N2CCNCC2)C(Cl)=CC=1.Cl.Cl,0
C1(F)=C([C@H](CCC(F)(F)F)N)C(F)=CC(OC)=C1,0
C(C#N)(=CC1=CC=C(C2C(OC)=CC=C(C=2)N(=O)=O)O1)C(=O)NC1CCCCC1,0
S(N)(=O)(=O)C1C=CC(=CC=1)CCNC(=O)C1=CC=C(C=C1)C#CC1C=CC=CC=1,0
IC1C=C(CN)C(OCC(C)C)=CC=1,0
C1(C2=CC=CC(N)=C2)NC2=C(C=C3C(C=CC=C3)=C2)N=1,0
C(=O)([C@@H](N)CC1=CC=C(C=C1)OC)NC1=CC=C(C(C)=C1)NC(COC)=O.Cl,0
C1=C(OCC2C=CC=CC=2)C(OCC)=CC([C@H](CC2CC2)N)=C1.Cl,0
[H]Cl.NC1C(Cl)=CN=C(Cl)C=1,0
C1CCC([NH+](NC(C2C=CC=CC=2)=O)C1C)C,0
[C@@H]1([C@@H](N)[C@@H]2C[C@H]1CC2)C(=O)N1CCC(CC1)OC1=CC=CC=C1OC,0
NC1C(C2=C3C(C=CC=C3)=NC=C2)C1,0
C(C1=CC=NC=C1)(=O)NC1=C(OC)C=CC(N)=C1,0
CC1=CC(OCCN)=C(F)C=C1,0
COC(C12NCC(C1)(C)C2)=O,0
C([C@H](N)C1=CC=CN=C1)C(OC)=O.Cl,0
C1(=C(C)C=CC(N)=C1)NC(COC1C=CC(=CC=1)C)=O,0
S(=O)(=O)([O-])C(F)(F)F.[O+]1=C(N)SC=C1C1=CC=CC(Cl)=C1Cl,0
CC1C(OC2C=CC(N)=CC=2)=C(C)C=CC=1,0
C1(Br)=CC=C(OC(F)(F)F)C([C@H](CCCO)N2CCNCC2)=C1,0
S1(=O)(=O)CC(C1)N1CCNCC1,0
C1(C(=O)N(C)C2CCCCC2)=C(N)C2C(=NC3=C(C=C(C=C3)OC)C=2)S1,0
C1=CC(F)=CC([C@H](C(CCC)C)N2CCNCC2)=C1Cl.Cl,0
N1(CC2=CC=CC=C2)C2C=CC(=C3C=CC=C(C=23)C1=O)N,0
[C@H]1(N)[C@H](O)[C@H](O)[C@H](OC1)CN1C=CC(=O)NC1=O.Cl,0
C1(CN2CCC3(CNC(=O)C3COC)CC2)SC=NC=1C,0
C1=C([C@@H](C2=CC=CO2)N2CCNCC2)C=C(F)C(OC)=C1,0
C1(C2C=C(N)C=CC=2C)C=C(F)N=C(F)C=1,0
N1(CCCC(C(N)=O)C1)C1CCN(CC1)C,0
NC(C1(N2CCNCC2)CCSCC1)=O,0
C1=C([C@@H](CF)N)C(C(F)(F)F)=CC(C(F)(F)F)=C1.Cl,0
C(=O)(N1CCC(CC1)N)C1=CC=CC=C1OC.Cl,0
O=C1CC[C@H](CN)N1,0
S(=O)(=O)(C1=CC=CS1)N(C1CCCNC1)CCN1CCOCC1.Cl,0
O=C(N)C1=CC2C(C)=CC=CC=2N1,0
C1(F)=C(F)C(O)=C([C@H](CCN)N)C=C1.Cl,0
Cl.NCC1=C(C2=CC=C(Cl)C=C2)SC=N1,0
C1=C([C@H](C2CCCC2)N)C(O)=C(Cl)C=C1F.Cl,0
C1C(C2C=C([C@H](CC3CC3)N)C=CC=2)=CC=CC=1,0
C1(C#N)C(C2OC(C3C=CC(Cl)=CC=3)=CC=2)C2C(=O)CCCC=2OC=1N,0
N1(CC[C@H]2[C@H](CCCN2)C1)CC1=CC=C(C(OCC2C=CC=C(F)C=2)=C1)OC.Cl.Cl,0
Cl.Cl.C1(OCC)C=C(CNCC2CCNCC2)C=CC=1OC,0
S1(=O)(=O)N(CC2=CC=CC=C2F)C2=CC=CC=C2C2OC(N)=C(C#N)C(C3=CC=C(C=C3)Br)C1=2,0
C1(C#N)C(C2C=CC(=C(OC)C=2)OC)C2=CC=C(C=C2OC=1N)OC(=O)C1C=CC(=CC=1)OCC1=CC=C(C=C1)Cl,0
C1=C(N(=O)=O)SC([C@@H](CO)N)=C1,0
N(=C(C)C1=CC=CC(N)=C1)NC(=O)C(C1C=CC=CC=1)C1=CC=CC=C1,0
C1=C([C@H](CF)N2CCNCC2)C(OC)=CC(O)=C1.Cl,0
C1(OC)=C([C@H](C=C)N2CCNCC2)C(O)=C(Cl)C=C1,0
S(=O)(=O)(N[C@H]1CNC[C@@H]1OC)C1=CC=C(C=C1Cl)F,0
C1=CC(C)=C([C@H](CC(F)F)N2CCNCC2)C=C1Br.Cl,0
N1(CC2CCNC2)C(=O)CSC2C=C(C)C=CC1=2,0
Cl.N=C(N)C1CN(C(=O)C1)CCOC,0
O=C(C(CCS(=O)(C)=O)N)OCC.[H]Cl,0
NC1=CC=C(S(N(CC2OC=CC=2)CC2OC=CC=2)(=O)=O)C=C1,0
NC(C1SC=CC=1)CCO,0
C1=CC=CC2C([C@@H](CCC(F)(F)F)N)=CN(C)C1=2.Cl,0
O=C1[C@H]2N[C@H](CC2)CN1.Cl,0
C1=CSC=C1[C@@H](CC(F)(F)F)N,0
